user0,nqs0,128,1451,158,116,10/1/1993,0:00:03
user0,nqs1,128,3726,385,283,10/1/1993,0:24:23
user0,nqs2,128,1067,120,88,10/1/1993,1:26:41
user1,nqs3,128,10927,1106,811,10/1/1993,1:44:32
user0,nqs4,128,2927,306,224,10/1/1993,4:46:44
sysadmin,pwd,1,3,0,0,10/1/1993,5:36:48
sysadmin,pwd,1,3,0,0,10/1/1993,5:43:05
sysadmin,pwd,1,8,1,1,10/1/1993,5:44:17
sysadmin,pwd,1,17,2,1,10/1/1993,5:49:59
sysadmin,pwd,1,2,0,0,10/1/1993,5:50:17
sysadmin,pwd,1,19,2,1,10/1/1993,5:50:46
sysadmin,pwd,1,20,2,2,10/1/1993,5:51:40
sysadmin,pwd,1,14,2,1,10/1/1993,5:52:25
sysadmin,pwd,1,2,0,0,10/1/1993,5:53:29
sysadmin,pwd,1,14,2,1,10/1/1993,5:56:03
sysadmin,pwd,1,15,2,1,10/1/1993,5:56:48
sysadmin,pwd,1,16,2,1,10/1/1993,5:57:32
sysadmin,pwd,1,15,2,1,10/1/1993,5:58:19
sysadmin,pwd,1,2,0,0,10/1/1993,5:59:31
sysadmin,pwd,1,5,1,0,10/1/1993,6:00:58
sysadmin,pwd,1,3,0,0,10/1/1993,6:06:51
sysadmin,pwd,1,2,0,0,10/1/1993,6:08:06
sysadmin,pwd,1,16,2,1,10/1/1993,6:13:41
sysadmin,pwd,1,3,0,0,10/1/1993,6:14:26
sysadmin,pwd,1,14,2,1,10/1/1993,6:14:31
sysadmin,pwd,1,14,2,1,10/1/1993,6:15:22
sysadmin,pwd,1,14,2,1,10/1/1993,6:16:08
sysadmin,pwd,1,2,0,0,10/1/1993,6:17:11
sysadmin,pwd,1,13,1,1,10/1/1993,6:20:05
sysadmin,pwd,1,17,2,1,10/1/1993,6:20:49
sysadmin,pwd,1,14,2,1,10/1/1993,6:21:44
sysadmin,pwd,1,15,2,1,10/1/1993,6:22:31
sysadmin,pwd,1,2,0,0,10/1/1993,6:23:41
sysadmin,pwd,1,8,1,1,10/1/1993,6:24:22
sysadmin,pwd,1,3,0,0,10/1/1993,6:31:12
sysadmin,pwd,1,2,0,0,10/1/1993,6:31:53
sysadmin,pwd,1,21,2,2,10/1/1993,6:37:30
sysadmin,pwd,1,3,0,0,10/1/1993,6:38:21
sysadmin,pwd,1,22,2,2,10/1/1993,6:38:26
sysadmin,pwd,1,15,2,1,10/1/1993,6:39:15
sysadmin,pwd,1,14,2,1,10/1/1993,6:40:08
sysadmin,pwd,1,2,0,0,10/1/1993,6:41:13
sysadmin,pwd,1,16,2,1,10/1/1993,6:43:54
sysadmin,pwd,1,15,2,1,10/1/1993,6:44:39
sysadmin,pwd,1,15,2,1,10/1/1993,6:45:24
sysadmin,pwd,1,18,2,1,10/1/1993,6:46:21
sysadmin,pwd,1,4,1,0,10/1/1993,6:47:32
sysadmin,pwd,1,2,0,0,10/1/1993,6:48:44
sysadmin,pwd,1,2,0,0,10/1/1993,6:55:37
sysadmin,pwd,1,2,0,0,10/1/1993,6:56:05
sysadmin,pwd,1,16,2,1,10/1/1993,7:01:43
sysadmin,pwd,1,4,1,0,10/1/1993,7:02:50
sysadmin,pwd,1,15,2,1,10/1/1993,7:02:56
sysadmin,pwd,1,21,2,2,10/1/1993,7:03:42
sysadmin,pwd,1,16,2,1,10/1/1993,7:04:36
sysadmin,pwd,1,3,0,0,10/1/1993,7:06:07
user2,cmd0,1,10,1,1,10/1/1993,7:06:17
sysadmin,pwd,1,15,2,1,10/1/1993,7:08:27
user2,nsh,0,10,1,1,10/1/1993,7:23:23
user2,cmd1,32,716,75,55,10/1/1993,7:23:36
user2,cmd2,1,7,1,1,10/1/1993,7:35:34
develop0,cmd4,2,69,7,5,10/1/1993,7:46:11
user3,cmd3,1,9,1,1,10/1/1993,7:46:32
user3,cmd3,1,9,1,1,10/1/1993,7:47:26
sysadmin,pwd,1,3,0,0,10/1/1993,7:48:06
user3,cmd3,1,884,89,65,10/1/1993,7:50:58
sysadmin,pwd,1,4,1,0,10/1/1993,7:55:42
sysadmin,pwd,1,6,1,1,10/1/1993,8:03:01
sysadmin,pwd,1,22,2,2,10/1/1993,8:08:44
sysadmin,pwd,1,14,2,1,10/1/1993,8:09:31
sysadmin,pwd,1,14,2,1,10/1/1993,8:10:16
sysadmin,pwd,1,15,2,1,10/1/1993,8:11:09
user2,nsh,0,17,2,1,10/1/1993,8:12:02
user2,cmd1,32,75,11,8,10/1/1993,8:12:22
sysadmin,pwd,1,5,1,0,10/1/1993,8:13:14
user2,cmd2,1,15,2,1,10/1/1993,8:13:39
sysadmin,pwd,1,3,0,0,10/1/1993,8:21:48
user2,nsh,0,12,1,1,10/1/1993,8:24:52
user2,cmd1,32,176,21,15,10/1/1993,8:25:07
user2,nsh,0,12,1,1,10/1/1993,8:28:48
user2,cmd1,32,160,19,14,10/1/1993,8:29:05
sysadmin,pwd,1,4,1,0,10/1/1993,8:29:21
user2,nsh,0,17,2,1,10/1/1993,8:35:14
sysadmin,pwd,1,15,2,1,10/1/1993,8:35:20
user2,cmd1,32,229,26,19,10/1/1993,8:35:34
sysadmin,pwd,1,16,2,1,10/1/1993,8:36:17
sysadmin,pwd,1,16,2,1,10/1/1993,8:37:11
sysadmin,pwd,1,15,2,1,10/1/1993,8:37:58
sysadmin,pwd,1,5,1,0,10/1/1993,8:39:06
user4,cmd5,4,54,6,4,10/1/1993,8:41:59
